Appliance	avg	std	op
Toaster 	1150	0	GPUs
Microwave 	1050	0	GPUs
Electric mower 	1000	0	GPUs
Hairdryer 	1000	0	GPUs
Electric drill 	950	0	GPUs
Vacuum cleaner 	850	0	GPUs
Dehumidifier 	500	0	GPUs
Plasma TV 	365	0	GPUs
Fridge/freezer 	300	0	GPUs
Towel rail 	250	0	GPUs
Heating blanket 	165	0	GPUs
LCD TV 	160	0	GPUs
Freezer 	150	0	GPUs
P100 (general)	140	0	GPUs
1080Ti (general)	131.5	0	GPUs
Games console 	117.5	0	GPUs
Desktop computer 	115	0	GPUs
Fridge 	80	0	GPUs
Video, DVD or CD 	40	0	GPUs
TV box 	35	0	GPUs
Laptop 	35	0	GPUs
Extractor fan 	20.5	0	GPUs
Tablet (charge) 	10	0	GPUs
Broadband router 	8.5	0	GPUs
Smart phone (charge) 	3.75	0	GPUs
1080Ti (LSTM – EN-FR)	568.21	66.2921034490289	GPUs
1080Ti (LSTM – EN-ES)	563.54	65.8986782566505	GPUs
1080Ti (LSTM – FR-EN)	567.39	66.2481826950851	GPUs
1080Ti (LSTM – ES-EN)	559.6	65.217814597522	GPUs
1080Ti (TRANS – EN-FR)	706.79	57.8363031300435	GPUs
1080Ti (TRANS – EN-ES)	706.16	58.021819935197	GPUs
1080Ti (TRANS – FR-EN)	706.54	57.8837390236763	GPUs
1080Ti (TRANS – ES-EN)	717.9	56.4476379333681	GPUs
P100 (LSTM – EN-FR)	345.28	60.263039231575	GPUs
P100 (LSTM – EN-ES)	341.98	60.3281083490882	GPUs
P100 (LSTM – FR-EN)	341.74	59.7149984935776	GPUs
P100 (LSTM – ES-EN)	340.44	59.6281775885109	GPUs
P100 (TRANS – EN-FR)	460.42	36.8339215539985	GPUs
P100 (TRANS – EN-ES)	456.23	36.9730765287956	GPUs
P100 (TRANS – FR-EN)	454.3	38.752660215844	GPUs
P100 (TRANS – ES-EN)	454.76	38.0443349309381	GPUs
1080Ti (LSTM – EN-FR Translate)	157.72	45.0003592389098	GPUs
1080Ti (LSTM – EN-ES Translate)	158.43	44.8692531899941	GPUs
1080Ti (LSTM – FR-EN Translate)	154.98	43.1115041308594	GPUs
1080Ti (LSTM – ES-EN Translate)	153.43	45.0501543794346	GPUs
1080Ti (TRANS – EN-FR Translate)	188.71	45.594847750676	GPUs
1080Ti (TRANS – EN-ES Translate)	169.97	42.4950179134318	GPUs
1080Ti (TRANS – FR-EN Translate)	193.34	43.1917699739911	GPUs
1080Ti (TRANS – ES-EN Translate)	175.58	44.7645046614789	GPUs
P100 (LSTM – EN-FR Translate)	90.4961336220229	25.9622498418033	GPUs
P100 (LSTM – EN-ES Translate)	89.061551292744	25.7973118563028	GPUs
P100 (LSTM – FR-EN Translate)	93.1365436401077	26.5708283274654	GPUs
P100 (LSTM – ES-EN Translate)	89.3534827166927	25.8830685970294	GPUs
P100 (TRANS – EN-FR Translate)	104.523625023625	28.2977753431768	GPUs
P100 (TRANS – EN-ES Translate)	102.706861755802	28.8328693076613	GPUs
P100 (TRANS – FR-EN Translate)	100.927855352667	31.8446369625613	GPUs
P100 (TRANS – ES-EN Translate)	104.349528795812	29.3982498907096	GPUs
